ジャンル,建築名,建築家,時代,場所,造り,特徴,解説,画像,,,,,,\
1_日本建築史,賀茂別雷神社本殿・権殿賀茂御祖神社本殿,---,神社様式,京都府京都市,流造り,切妻屋根の平入りとした三間社の本殿・桁行三間、梁間二間の身舎の前面に間の庇を付けた形式(向拝)で、前面の根を延長して葺下ろしにした流造り,賀茂別雷神社は上賀茂とよばれ、本殿・権殿は、賀茂御祖神社(下神社)の本殿(西本殿・東本搬)とまったく同じ形式となる。賀茂別電神社本殿・権殿は、広い境内の奥に同形同大の 2 様が並立している。切妻屋根の平入りとした三間社の本搬は、桁行三間、梁間二間の身含の前面に間の庇を付けた形式(向拝)で、前面の屋根を延長して葺下ろしにした流造りである。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_12.png,/main/images,/01_12.png,01,12,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_12.png/main/images/01_12.png,
1_日本建築史,宇佐神宮本殿,---,神社様式,大分県宇佐市,八幡造り,八幡造り,切妻屋根の平入りとし、止面 3 間で側面 2 間の後殿と、側面が 1 間の前殿とが並び、その間に相の間を設けて連結し、両殿の間に生じた屋根の谷に大きな陸を設けている。このような形式を八幡造りといい、宇佐神宮ではこの本殿が3 つ並行している。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_13.png,/main/images,/01_13.png,01,13,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_13.png/main/images/01_13.png,
1_日本建築史,東三条殿,---,平安時代,京都府,寝殿造り,寝殿造り、貴族の住宅、渡殿、釣殿,平安時代の藤原氏の邸宅で、代表的な寝殿造りの住宅とされており、現存はしないが、当時の日記などから復元された平面図で全容をうかがうことができる。たいのや対屋:寝殿の左右や後ろに独立して建ち、住屋(住居)に使用された。ちうもんろう中門廊:寝殿造りで東西の対屋などから主として南庭側にのび、途中に中門をもっ廊。わたどの渡殿:寝殿と各対屋を結ぶ屋根付き渡り廊下。渡り殿・細殿・渡廊ともいう。なお、両側吹き放しの場合は透渡殿。壁や蔀戸があれば壁渡殿という。つりどの釣殿:寝殿の南側の池に面して建っ亭。納涼などの目的で使われ吹放しの建物が多い。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_14.png,/main/images,/01_14.png,01,14,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_14.png/main/images/01_14.png,
1_日本建築史,厳島神社社殿,---,平安時代,広島県廿日市市,両流造り,両流造りの本殿、幣殿、拝殿、祓殿、客神社、舞台、回廊などで構成,宮島の弥山を神体山とし、島の海浜に設けられた社殿。両流造りの本殿、幣殿、拝殿、祓殿、客神社、舞台、回廊などで構成され、波静かな水面に浮かぶ寝殿造りの姿を残す優美な建物が、自然と巧みに調和している。平安時代の創建、火災焼失後、鎌倉時代にほぼ現状に復元、一部は桃山時代の改築,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_15.png,/main/images,/01_15.png,01,15,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_15.png/main/images/01_15.png,
1_日本建築史,三仏寺投入堂,---,平安時代,鳥取県三朝町,懸造り,修験道の道場・岩山の影のくぼみ・懸造り,修験道の道場として山中に営まれた寺院で、投入堂は奧院の岩山の崖の窪みに建てられ、懸造りと呼ばれる様式の仏堂であり、堂は切妻造りで前面の軒を伸ばし妻面に庇をつけ、さらに糾のところに低い小庇を設けて変化に富む屋根を構成している。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_16.png,/main/images,/01_16.png,01,16,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_16.png/main/images/01_16.png,
1_日本建築史,清水寺本堂,---,平安時代,京都府京都市,懸造り,懸造り・長い束柱を貫で固めた足代によって支えられている,創立は平安時代だが、現在の建築物は江戸時代初期に再建されたものである。その建築様式は懸造りとよばれ、急な崖の上に張り出した床を、長い束柱を貫で固めた足代によって支えている。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_17.png,/main/images,/01_17.png,01,17,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_17.png/main/images/01_17.png,
1_日本建築史,東大寺南大門,---,鎌倉時代,奈良県奈良市,大仏様（天竺様）・入母屋造,大仏様・柱に直接差し込む挿肘木、入母屋造、本瓦葺、化粧屋根裏で天井は張らない,現在の建築物は鎌倉時代後期に再建されたものである。重源によって中国宋の建築様式を取り人れたが、これを大仏様(天竺様)と呼んでいる。貫で軸部を水平方向に固め、柱に直接差し込む挿肘木を重ねた六手先の組物で軒の荷重を支えている。巨大な二重門は、入母屋造、本瓦葺、鼻隠板を打った一重の軒、だけの扇垂木、木鼻には特色ある繰形を用い、化粧屋根裏で天井は張らないなどの大仏様の特徴をよく表している。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_18.png,/main/images,/01_18.png,01,18,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_18.png/main/images/01_18.png,
1_日本建築史,浄土寺浄土堂,---,鎌倉時代,兵庫県小野市,大仏様（天竺様）,大仏様・天井を張らず化粧屋根裏・組物に挿肘木を用い、貫で軸部を固める,浄上寺は東大寺の播磨別所として重源が建立したところである。堂は、鎌倉時代に大陸より渡来した大仏様(天竺様)の建築物で、桁行 3 間、梁間 3 間、宝形造であるが、柱間が非常に大きいので、出人口の部分では小脇柱を立てて、桟さしひし唐戸を人れる。内部に天井を張らず化粧屋根裏として、組物に挿肘禾を用い、長押を用いす貫で軸部を固める。軒は反がなく直線で、断面円形の丸桁で糾だけ扇となった垂木をうけている。断面円形の太い虹梁と大瓶東とを用いた力強い架構法を現し、大仏様のもつ構造美をよく表現している。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_19.png,/main/images,/01_19.png,01,19,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_19.png/main/images/01_19.png,
1_日本建築史,円覚寺舎利殿,---,鎌倉時代,神奈川県鎌倉市,禅宗様・柿葺入母屋造の屋根,禅宗様、裳階、杮葺入母屋造、海老虹梁、扇垂木、火灯窓,禅宗様の最も純粋な遺構である。外観は方三間に裳階をつけ、柿葺入母屋造の屋根をあげた形式で、華奢で繊細な意匠となっている。裳階は海老虹梁で身舎と結ばれ、組物は詰組として、軒は扇状に垂木を配する(扇垂木)。火灯窓や、波形連子の弓欄間、頭貫や台輸の木鼻、竪張りの板壁なども禅宗様の特色であ,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_20.png,/main/images,/01_20.png,01,20,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_20.png/main/images/01_20.png,
1_日本建築史,鹿苑寺舎利殿(金閣),---,室町時代,京都府京都市,最上層を禅宗様、第2層を和様、初層を住宅,足利三代将軍の別荘、最上層を禅宗様、第2層を和様、初層を住宅,足利三代将車義満の別荘として建てられたもので、死後、遺言により禅寺としたものが鹿苑寺で、その中の舎利殿が金閣である。最上層を禅宗様仏堂の形式とし、第 2 層に和様仏堂風、初層に住宅風の建築様式を用いている。,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_21.png,/main/images,/01_21.png,01,21,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/01_21.png/main/images/01_21.png,
