ジャンル,建築名,建築家,時代,場所,造り,特徴,解説,画像,,,,,,\
2_西洋建築史,ピサ大聖堂,---,ロマネスク,イタリア,ロマネスク,ロマネスク建築の代表作。鐘楼。ラテン十字形、会堂部は五廊式、袖廊部は三廊式、その交差部に楕円形のドーム、白と赤の大理石で半円アーチを支える円柱を小アーケードとして4層に重ねている。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_09.png,/main/images,/02_09.png,02,09,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_09.png/main/images/02_09.png,
2_西洋建築史,シュパイヤー大聖堂,---,ロマネスク,ドイツ,ロマネスク,ロマネスク建築初期の傑作、外壁に赤砂岩を用いるバシリカ式、塔を持つ。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_10.png,/main/images,/02_10.png,02,10,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_10.png/main/images/02_10.png,
2_西洋建築史,ダラム大聖堂,---,ロマネスク,イギリス,ロマネスク,イギリスロマネスク建築、交差リブヴォールト、ハリーポッターのロケ,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_11.png,/main/images,/02_11.png,02,11,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_11.png/main/images/02_11.png,
2_西洋建築史,ヴォルムス大聖堂,---,ロマネスク,ドイツ,ロマネスク,ロマネスク建築、バシリカ形式、三廊式、二重内陣、合計6つの塔,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_12.png,/main/images,/02_12.png,02,12,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_12.png/main/images/02_12.png,
2_西洋建築史,ル・トロネ修道院,---,ロマネスク,フランス,ロマネスク,シトー会、ロマネスク期の修道院、石材、ゆるやかな傾斜地、不規則な回廊,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_13.png,/main/images,/02_13.png,02,13,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_13.png/main/images/02_13.png,
2_西洋建築史,パリ（ノートルダム）大聖堂,---,ゴシック,フランス,ゴシック,初期のゴシック、二重周歩廊、五廊式バシリカ形式、バラ窓、左右対称の双塔形式,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_14.png,/main/images,/02_14.png,02,14,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_14.png/main/images/02_14.png,
2_西洋建築史,シャルトル大聖堂,---,ゴシック,フランス,ゴシック,盛期のゴシック、身廊は三廊式、二重内陣、5つの放射状祭室,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_15.png,/main/images,/02_15.png,02,15,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_15.png/main/images/02_15.png,
2_西洋建築史,ランス大聖堂,---,ゴシック,フランス,ゴシック,ゴシックの大聖堂、身廊・側廊は三廊式、5つの放射状祭室、ゴシック芸術の傑作,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_16.png,/main/images,/02_16.png,02,16,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_16.png/main/images/02_16.png,
2_西洋建築史,アミアン大聖堂,---,ゴシック,フランス,ゴシック,盛期ゴシック、身廊部・袖廊部ともに三廊式、内陣に周歩廊を隔てて7つの小さな祭室が配置,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_17.png,/main/images,/02_17.png,02,17,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_17.png/main/images/02_17.png,
2_西洋建築史,ケルン大聖堂,---,ゴシック,ドイツ,ゴシック,ドイツ・ゴシックの代表作。北フランスのゴシックを模倣した教会堂。正面に並列する高さ160mの2つの大鐘楼で有名。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_18.png,/main/images,/02_18.png,02,18,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_18.png/main/images/02_18.png,
2_西洋建築史,ミラノ大聖堂,---,ゴシック,イタリア,ゴシック,イタリア・ゴシックの最大規模の教会。多数の小さな尖塔が特徴的。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_19.png,/main/images,/02_19.png,02,19,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_19.png/main/images/02_19.png,
2_西洋建築史,フィレンツェ大聖堂,---,ルネッサンス（ゴシック）,イタリア,ルネッサンス（ゴシック）,中世に寄港されたゴシック建築の大聖堂だが、大ドームはルネサンス期にF.ブルネレスキの設計により建造。内径が43ｍの八角形の二重殻,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_20.png,/main/images,/02_20.png,02,20,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_20.png/main/images/02_20.png,
2_西洋建築史,バシリカ・パラディアーナ,A.パラディオ,ルネッサンス（ゴシック）,イタリア,ルネッサンス（ゴシック）,ルネサンス後期にA.パラディオの設計された裁判所。視聴者に古典的なファサードを付加、1階を開放的なアーケード都市、アーチの間にドリス式オダーをおいている。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_21.png,/main/images,/02_21.png,02,21,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_21.png/main/images/02_21.png,
2_西洋建築史,テンピエット,ブラマンテ,ルネッサンス,イタリア・ローマ,ルネッサンス,中庭に建築家のブラマンテが設計した円形の礼拝堂。古典的な形式。装飾を排除したドームとオーダー,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_22.png,/main/images,/02_22.png,02,22,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_22.png/main/images/02_22.png,
2_西洋建築史,サン・ピエトロ大聖堂,ミケランジェロ他,ルネッサンス,バチカン市国,ルネッサンス,ミケランジェロなど多くの芸術家が関わった。ルネサンス・バロックの代表格。中央のドームは直径42m、高さ119m,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_23.png,/main/images,/02_23.png,02,23,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_23.png/main/images/02_23.png,
2_西洋建築史,ヴェルサイユ宮殿,---,バロック,フランス,バロック,バロック建築の代表作、鏡の間と呼ばれる大広間がある。壮大な幾何学模様の庭園が併設。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_24.png,/main/images,/02_24.png,02,24,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_24.png/main/images/02_24.png,
2_西洋建築史,サン・カルロ・アッレ・クァットロ・ファンターネ聖堂,ポッロミーニ,バロック,イタリア,バロック,ボッロミーニが設計したバロック建築の教会堂。身廊の上部に楕円形のドームを載せ、ファサードには凹凸のある湾曲面や曲線が用いられる。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_25.png,/main/images,/02_25.png,02,25,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_25.png/main/images/02_25.png,
2_西洋建築史,セント・ポール大聖堂,---,バロック,ロンドン,バロック,バロック様式により再建。ギリシア十字形と長堂形式の統合したプランを持つ。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_26.png,/main/images,/02_26.png,02,26,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_26.png/main/images/02_26.png,
2_西洋建築史,サント・ジェヌヴィエーブ聖堂,スフロ,ネオクラシズム,フランス,ネオクラシズム,現在は偉人を祀る記念堂に変更され、パンテオンと命名されている。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_27.png,/main/images,/02_27.png,02,27,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_27.png/main/images/02_27.png,
2_西洋建築史,大英博物館,---,ネオクラシズム,イギリス,ネオクラシズム,考古学の成果に基づく古代ギリシアや古代ロ ー マ建築の研究および正確な理解を通じ、その造形原理の復興を試みている。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_28.png,/main/images,/02_28.png,02,28,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_28.png/main/images/02_28.png,
2_西洋建築史,エトワールの凱旋門,---,ネオクラシズム,フランス・パリ,ネオクラシズム,ナポレオンの戦勝を記念した。ネオクラシズムの代表作の一つ。彫刻群で埋められた外観と巨大な規模を,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_29.png,/main/images,/02_29.png,02,29,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_29.png/main/images/02_29.png,
2_西洋建築史,イギリス国会議事堂（ウェストミンスタ ー 宮殿）,バリィ、ピュージン,ネオゴシック,イギリス,ネオゴシック,ネオゴシック。王宮として建てられ、今日までは国会議事堂として使われている。時計塔はベックベンと呼ばれる,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_30.png,/main/images,/02_30.png,02,30,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_30.png/main/images/02_30.png,
2_西洋建築史,ドルスデン歌劇場,ゼンパー,ネオクラシズム,ドイツ,ネオクラシズム,"ネオルネサンス。適用されたルネサンス様式は,極めて軽快で,優雅である。",,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_31.png,/main/images,/02_31.png,02,31,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_31.png/main/images/02_31.png,
2_西洋建築史,ドイツ国会議事堂,パウル・ヴァロット,ネオバロック,ドイツ,ネオバロック,ネオバロック。 1999 年ノ ー マン・フォスタ ー による改修設計。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_32.png,/main/images,/02_32.png,02,32,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/02_32.png/main/images/02_32.png,
3_近代建築史,クリスタルパレス,パクストン,,イギリス・ロンドン,,万国博覧会の会場でのガラスと鉄骨こよる大スパン建築。現存せず。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_01.png,/main/images,/03_01.png,03,01,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_01.png/main/images/03_01.png,
3_近代建築史,エッフェル塔,エッフェル,,フランス・パリ,,1889 年に開かれた万国博覧会の作品、高さ 300m 、錬鉄製部材の記念塔新しい材料・新しい構造をもって新しい建築課題に応えるため、近代建築運動と呼ばれるさまぎまな建築家達の理論が次 々 と現れた。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_02.png,/main/images,/03_02.png,03,02,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_02.png/main/images/03_02.png,
3_近代建築史,タッセル邸,V.オルタ,,ベルギー,アールヌーボー,"アールヌーボーの初期。ドイツなどヨ ー ロッパ全上に広がった装飾様式でで,有機的で非対称な自由曲線の組合わせを鉄やガラスなどを用いて創りだす,情感豊かな造形に特徴がある。",,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_03.png,/main/images,/03_03.png,03,03,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_03.png/main/images/03_03.png,
3_近代建築史,ウィーン郵便貯金局,オットー・ワグナー,,フランス・パリ,,"オット ー ・ワグナ ー は,「必要様式」という考え方を提示し,機能主義・合理主義の設計理論の先駆者とされており,その代表的な作品とされている。単純で明快な幾何学的構成が特徴で、ゼツェッシオン(分離派)とよばれる造形運動が背景となっている。",,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_04.png,/main/images,/03_04.png,03,04,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_04.png/main/images/03_04.png,
3_近代建築史,フランクリン街のアパート,A.ペレー,,フランス・パリ,,"20 世紀初頭に建てられた鉄筋コンクリ ー トの柱・梁構造による集合住宅であり,近代建築の先駆けとされている。",,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_05.png,/main/images,/03_05.png,03,05,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_05.png/main/images/03_05.png,
3_近代建築史,ランシーのノートルダム寺院,A.ペレー,,フランス・パリ,,"鉄筋コンクリ ー トによるすぐれた造形で知られる。直径43cm, 高さ 11m の独立円柱28 本で支えられたコンクリー トによるヴォ ー ルト天井と,色ガラスで四周を囲われた内部空間は誠に荘厳である。バシリカ型の 3 廊式プラン,正面の鐘塔など,伝統的な教会のプランを踏襲している。",,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_06.png,/main/images,/03_06.png,03,06,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_06.png/main/images/03_06.png,
3_近代建築史,サグラダ・ファミリア,アントニオ・ガウディ,ネオゴシック様式,スペイン・バルセロナ,,ネオゴシック様式で、現在高さ 120m に及び 4 本の尖塔は、ガウディの死後も工事を続行し、 10 数本の尖塔が林立する壮大な計画が進められている。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_07.png,/main/images,/03_07.png,03,07,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_07.png/main/images/03_07.png,
3_近代建築史,カーソン・ピリー・スコット百貨店,ルイス・サリバン,,アメリカ,,19 世紀末から 20 世紀初頭にかけてシカゴを拠点とし、多くの鉄骨構造による高層建築の設計したルイス・サリバンの代表作の 1 つ。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_08.png,/main/images,/03_08.png,03,08,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_08.png/main/images/03_08.png,
3_近代建築史,アインシュタイン塔,エーリッヒメンテルゾ ー ン,,ドイツ・ポツダム,,実測・検証するために建てられた研究施設で、表現主義の一派であるドイツ表現派の代表的な作品であり、曲線や曲面を用いて幻想的な感情を強く表現している。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_09.png,/main/images,/03_09.png,03,09,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_09.png/main/images/03_09.png,
3_近代建築史,バウハウス,W.グロピウス,,ドイツ,,建築学校。機能的に3つのブロックに独立しているのが特徴。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_10.png,/main/images,/03_10.png,03,10,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_10.png/main/images/03_10.png,
3_近代建築史,パイミオのサナトリウム,アルヴァ・アアルト,,フィンランド・パイミオ,,"北欧の広大な森林の中に病棟,食堂・娯楽室棟などが機能的かつ明快にゾーニングされている。ヒューマンデザインで知られる。",,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_11.png,/main/images,/03_11.png,03,11,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_11.png/main/images/03_11.png,
3_近代建築史,パリのユネスコ本部,M.ブロイヤー,,フランス・パリ,,Y 字型の 7 階建ての本館で、「スリ ー ポインテッド・スタ ー 」の愛称を持ち、高さ 7 メ ー トルの傾斜した 72 本のコンクリ ート杭の上に事務局が人っている。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_12.png,/main/images,/03_12.png,03,12,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_12.png/main/images/03_12.png,
3_近代建築史,レヴァ・ハウス,SOM,,アメリカ・ニューヨーク,,"ビロティ,屋上庭園の一方に 21 階の塔状事務所を載せる。 2001年に大規模な改修。",,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_13.png,/main/images,/03_13.png,03,13,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_13.png/main/images/03_13.png,
3_近代建築史,モントリオール万博西ドイツ館,F.オットー,,カナダ・モントリオール,,ワイヤロープでネットを組み、その間にテント(皮膜)を張る。テントを用いた鋼索つり構造,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_14.png,/main/images,/03_14.png,03,14,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_14.png/main/images/03_14.png,
3_近代建築史,ジョンF.ケネディ空港TWAターミナル,E.サーリネン,,アメリカ・ニューヨーク,,"4 本の Y 字柱脚に支えられた 4 枚の鉄筋コンクリ ー ト・シェル構造による屋根が,長さ 105m ,高さ 17m の旅客スペ ー スを覆い,コンクリ ートの可塑性を生かして部分と全体とが一体になったデザインと,自然光による立体効果とがこの空間に統一感を与えている。",,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_15.png,/main/images,/03_15.png,03,15,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_15.png/main/images/03_15.png,
3_近代建築史,ダレス国際空港,E.サーリネン,,アメリカ・ヴァージニア,,スパン50mの吊り屋根構造が特徴。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_16.png,/main/images,/03_16.png,03,16,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_16.png/main/images/03_16.png,
3_近代建築史,シドニーのオペラハウス,J.ウツソン,,オーストラリア・シドニー,,球面シェル構造。オペラシアター・コンサートホール・レストランから複合敷設。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_17.png,/main/images,/03_17.png,03,17,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/03_17.png/main/images/03_17.png,
3_近代建築史,東京カテドラル聖マリア大聖堂,丹下健三,,東京都文京区,,十字形プランを 8 枚の HP シェルで構成。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_02.png,/main/images,/04_02.png,04,02,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_02.png/main/images/04_02.png,
3_近代建築史,モントリオール万博アメリカ館,R.バックミンスター・フラー,,カナダ,,「ジオデシック・ド ー ム」の実施例の 1 つで、多数の均質な構造材を組み上げた巨大なド ー ム状構造物である。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_03.png,/main/images,/04_03.png,04,03,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_03.png/main/images/04_03.png,
3_近代建築史,ロンシャンの教会,ル・コルビュジエ,,フランス・ロンシャン,,白い塔、覆いかぶさるニ重の打放しのコンクリ ー トの屋根、壁に任意の配置で開けられた窓をもつ、コンクリ ー トの重量感を生かした建築。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_04.png,/main/images,/04_04.png,04,04,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_04.png/main/images/04_04.png,
3_近代建築史,イリノイ工科大学,ミース・ファン・デル・ローエ,,アメリカ・シカゴ,,鉄とガラスを使った校舎群。クラウンホ ー ルが特に有名。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_05.png,/main/images,/04_05.png,04,05,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_05.png/main/images/04_05.png,
3_近代建築史,旧開智学校校舎,立石清重,近現代,長野県松本市,,地元の大工棟梁の設計・施工により、1876 年に竣工し、アーチや隅石などの洋風の意匠と、瓦屋根や唐破風などの和風の意匠とが混在した様式であり、疑洋風とよばれている。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_06.png,/main/images,/04_06.png,04,06,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_06.png/main/images/04_06.png,
3_近代建築史,豊平館,安達喜幸,近現代,北海道札幌市,,"北方開拓使の宿舎として 1880 年に竣工し,後に民営のホテルとして営業した木造総 2 階建ての宿泊施設であり,中央人口の上部に架かる半円形に張り出したバルコニ ー をコリント式の柱で支えている。",,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_07.png,/main/images,/04_07.png,04,07,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_07.png/main/images/04_07.png,
3_近代建築史,迎賓館赤坂離宮,片山東熊,近現代,東京都,ネオバロック様式の洋風建築,"地下 1 階・地上 2 階建,石造および煉瓦造によるネオバロック様式の洋風建築で,設計者は片山東熊である。皇太子(後の大正天皇)の東宮御所として建設され, 1969 年から 5 年にわたり村野藤吾により改修が行われ,現在は国の迎賓施設として使用されている。",,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_08.png,/main/images,/04_08.png,04,08,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_08.png/main/images/04_08.png,
4_歴史的建造物の保全・活用,首里城復元事業,---,保全・活用,沖縄県,,1992 年に復元事業が完成した。また、今帰仁城跡や首里城跡等は、「琉球王国のグスク(城)及び関連遺産群」として 2000 年にユネスコの世界遺産に登録されている。 ,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_09.png,/main/images,/04_09.png,04,09,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_09.png/main/images/04_09.png,
4_歴史的建造物の保全・活用,サッポロファクトリー,---,保全・活用,北海道札幌市,,公共空間(アトリウム)や地下通路等で結び付けて、店舗・ホテル・事務所・映画館等の複合商業施設としている。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_10.png,/main/images,/04_10.png,04,10,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_10.png/main/images/04_10.png,
4_歴史的建造物の保全・活用,倉敷アイビースクエア,浦辺鎮太郎,保全・活用,岡山県倉敷市,,紡績工場をホテルや展示などの複合商業施設に再生した近代産業遺産の保存活用事例。,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_11.png,/main/images,/04_11.png,04,11,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_11.png/main/images/04_11.png,
4_歴史的建造物の保全・活用,横浜赤レンガ倉庫,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_12.png,/main/images,/04_12.png,04,12,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_12.png/main/images/04_12.png,
4_歴史的建造物の保全・活用,同潤会青山アパート,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_13.png,/main/images,/04_13.png,04,13,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_13.png/main/images/04_13.png,
4_歴史的建造物の保全・活用,アートプラザ,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_14.png,/main/images,/04_14.png,04,14,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_14.png/main/images/04_14.png,
4_歴史的建造物の保全・活用,京都文化博物館別館,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_15.png,/main/images,/04_15.png,04,15,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_15.png/main/images/04_15.png,
4_歴史的建造物の保全・活用,旧東京国立近代美術館工芸館,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_16.png,/main/images,/04_16.png,04,16,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_16.png/main/images/04_16.png,
4_歴史的建造物の保全・活用,国立西洋美術館,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_17.png,/main/images,/04_17.png,04,17,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_17.png/main/images/04_17.png,
4_歴史的建造物の保全・活用,名古屋市市政資料館,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_18.png,/main/images,/04_18.png,04,18,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_18.png/main/images/04_18.png,
4_歴史的建造物の保全・活用,横浜市の歴史的建造物,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_19.png,/main/images,/04_19.png,04,19,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_19.png/main/images/04_19.png,
4_歴史的建造物の保全・活用,中京郵便局,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_20.png,/main/images,/04_20.png,04,20,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_20.png/main/images/04_20.png,
4_歴史的建造物の保全・活用,自由学園明日館,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_21.png,/main/images,/04_21.png,04,21,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_21.png/main/images/04_21.png,
4_歴史的建造物の保全・活用,東京駅丸の内駅舎,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_22.png,/main/images,/04_22.png,04,22,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_22.png/main/images/04_22.png,
4_歴史的建造物の保全・活用,旧大社駅舎,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_23.png,/main/images,/04_23.png,04,23,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_23.png/main/images/04_23.png,
4_歴史的建造物の保全・活用,山梨市庁舎東棟,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_24.png,/main/images,/04_24.png,04,24,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_24.png/main/images/04_24.png,
4_歴史的建造物の保全・活用,金沢市民芸術村,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_25.png,/main/images,/04_25.png,04,25,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_25.png/main/images/04_25.png,
4_歴史的建造物の保全・活用,目黒区総合庁舎,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_26.png,/main/images,/04_26.png,04,26,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_26.png/main/images/04_26.png,
4_歴史的建造物の保全・活用,旧神奈川県立近代美術館,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_27.png,/main/images,/04_27.png,04,27,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_27.png/main/images/04_27.png,
4_歴史的建造物の保全・活用,犬島精練所美術館,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_28.png,/main/images,/04_28.png,04,28,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_28.png/main/images/04_28.png,
4_歴史的建造物の保全・活用,3331ArtsChiyoda,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_29.png,/main/images,/04_29.png,04,29,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_29.png/main/images/04_29.png,
4_歴史的建造物の保全・活用,石巻市庁舎,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_30.png,/main/images,/04_30.png,04,30,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_30.png/main/images/04_30.png,
4_歴史的建造物の保全・活用,大田区役所庁舎,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_31.png,/main/images,/04_31.png,04,31,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_31.png/main/images/04_31.png,
4_歴史的建造物の保全・活用,千葉市美術館,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_32.png,/main/images,/04_32.png,04,32,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_32.png/main/images/04_32.png,
4_歴史的建造物の保全・活用,ロームシアター京都,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_33.png,/main/images,/04_33.png,04,33,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_33.png/main/images/04_33.png,
4_歴史的建造物の保全・活用,アイアンブリッジ渓谷博物館,,,,,,,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_34.png,/main/images,/04_34.png,04,34,https://raw.github.com/huzixiaodao21-blip/architect-keikaku/main/images/04_34.png/main/images/04_34.png,
